"District","mag","SDP ","SKDL ","ML ","Kok ","RKP ","KE ","SV","Source","cst","cst_n"
"Central Finland ",11,3,3,3,1,,1,,"https://en.wikipedia.org/wiki/1945_Finnish_parliamentary_election",14,"vaasan läänin itäinen"
"East Viipuri ",17,4,2,9,2,"","","",,5,"kymen läänin itäinen"
"Häme ",11,4,3,1,2,,1,"",,1,"hämeen läänin eteläinen"
"Lapland ",8,1,2,4,1,,,,,7,"lapin läänin"
"North Karelia ",10,4,2,3,1,,,,,3,"kuopion läänin itäinen"
"North Savo ",11,3,4,3,1,,,,,4,"kuopion läänin läntinen"
"North Vaasa ",8,1,1,2,1,3,"","",,15,"vaasan läänin pohjoinen"
"Oulu ",17,2,5,7,2,,1,"",,9,"oulun läänin"
"Pirkanmaa ",11,4,3,1,2,,1,"",,2,"hämeen läänin pohjoinen"
"Satakunta ",14,4,4,3,2,,1,,,10,"turun-porin läänin pohjoinen"
"South Savo ",11,4,2,4,1,,,,,8,"mikkelin läänin"
"South Vaasa ",10,1,2,2,2,3,"","",,13,"vaasan läänin eteläinen"
"Uusimaa ",31,7,9,1,5,6,2,1,,12,"uudenmaan läänin"
"Varsinais-Suomi ",15,3,5,2,2,2,1,,,11,"tutun-porin läänin eteläinen"
"West Viipuri ",15,5,2,4,3,,1,,,6,"kymen läänin läntinen"
