"District","mag","SDP ","ML ","SKDL ","Kok ","RKP ","SK ","ÅS","Source","cst","cst_n"
"Åland ",1,,,,,,,1,"https://en.wikipedia.org/wiki/1951_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",12,4,5,2,1,"","","",,14,"vaasan läänin itäinen"
"Häme ",14,5,2,3,3,,1,,,2,"hämeen läänin eteläinen"
"Kymi ",15,6,4,2,3,"","","",,6,"kymen läänin"
"Lapland ",8,1,3,3,1,,,,,7,"lapin läänin"
"North Karelia ",11,4,3,2,1,,1,,,4,"kuopion läänin itäinen"
"North Savo ",13,2,5,4,1,,1,,,5,"kuopion läänin läntinen"
"North Vaasa ",8,1,3,1,1,2,"","",,15,"vaasan läänin pohjoinen"
"Oulu ",18,2,8,6,1,,1,"",,9,"oulun läänin"
"Pirkanmaa ",13,5,1,4,3,"","","",,3,"hämeen läänin pohjoinen"
"Satakunta ",15,4,4,4,3,,,,,10,"turun-porin läänin pohjoinen"
"South Savo ",12,4,5,1,1,,1,,,8,"mikkelin läänin"
"South Vaasa ",10,1,3,1,2,3,"","",,13,"vaasan läänin eteläinen"
"Uusimaa ",33,10,2,6,5,7,3,"",,12,"uudenmaan läänin"
"Varsinais-Suomi ",17,4,3,4,2,2,2,,,11,"tutun-porin läänin eteläinen"
