"District","mag","SDP ","ML ","SKDL ","Kok ","SK ","RKP ","ÅS","Source","cst","cst_n"
"Åland ",1,,,,,,,1,"https://en.wikipedia.org/wiki/1954_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",12,4,4,2,1,1,"","",,15,"vaasan läänin itäinen"
"Häme ",14,5,3,3,2,1,"","",,3,"hämeen läänin eteläinen"
"Helsinki ",19,6,,4,3,3,3,,,2,"helsinki läänin"
"Kymi ",15,6,4,2,2,1,"","",,7,"kymen läänin"
"Lapland ",9,1,4,3,1,,,,,8,"lapin läänin"
"North Karelia ",11,4,4,2,1,,,,,5,"kuopion läänin itäinen"
"North Savo ",13,2,5,4,1,1,,,,6,"kuopion läänin läntinen"
"North Vaasa ",8,1,3,1,1,,2,"",,16,"vaasan läänin pohjoinen"
"Oulu ",18,2,8,6,1,1,"","",,10,"oulun läänin"
"Pirkanmaa ",13,5,1,4,2,1,"","",,4,"hämeen läänin pohjoinen"
"Satakunta ",14,4,4,3,3,,,,,11,"turun-porin läänin pohjoinen"
"South Savo ",12,4,5,1,1,1,,,,9,"mikkelin läänin"
"South Vaasa ",10,1,3,1,2,,3,"",,14,"vaasan läänin eteläinen"
"Uusimaa ",15,5,2,3,1,1,3,"",,13,"uudenmaan läänin"
"Varsinais-Suomi ",16,4,3,4,2,2,1,,,12,"tutun-porin läänin eteläinen"
