"District","mag","SDP ","Kesk ","SKDL ","Kok ","RKP ","LKP ","TPSL ","SPP ","ÅS","Source","cst","cst_n"
"Åland ",1,,,,,,,,,1,"https://en.wikipedia.org/wiki/1966_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",11,4,3,2,1,,,1,"","",,5,"keski-suomen läänin"
"Häme ",14,5,2,2,3,,1,1,"","",,3,"hämeen läänin eteläinen"
"Helsinki ",21,7,,4,4,3,2,1,,,,2,"helsinki läänin"
"Kymi ",15,6,4,1,2,,1,1,"","",,7,"kymen läänin"
"Lapland ",10,1,4,4,,,1,,,,,8,"lapin läänin"
"North Karelia ",9,3,4,1,1,,,,,,,11,"pohjoinen karialan läänin"
"North Savo ",12,2,4,4,1,,,,1,"",,6,"kuopion läänin"
"Oulu ",18,2,8,6,1,,1,"","","",,10,"oulun läänin"
"Pirkanmaa ",12,4,1,4,3,"","","","","",,4,"hämeen läänin pohjoinen"
"Satakunta ",13,4,3,3,2,,1,,,,,12,"turun-porin läänin pohjoinen"
"South Savo ",10,3,4,1,1,,,1,"","",,9,"mikkelin läänin"
"Uusimaa ",18,6,2,3,2,3,1,1,"","",,14,"uudenmaan läänin"
"Vaasa ",20,3,7,3,3,4,"","","","",,15,"vaasan läänin"
"Varsinais-Suomi ",16,5,3,3,2,1,1,1,,,,13,"tutun-porin läänin eteläinen"
