"District","mag","SDP ","Kok ","Kesk ","SKDL ","SKL ","RKP ","SMP ","LKP ","ÅS","Source","cst","cst_n"
"Åland ",1,,,,,,,,,1,"https://en.wikipedia.org/wiki/1979_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",10,3,2,2,2,1,"","","","",,5,"keski-suomen läänin"
"Häme ",15,5,5,2,2,1,"","","","",,3,"hämeen läänin eteläinen"
"Helsinki ",20,6,7,,3,1,2,,1,,,2,"helsinki läänin"
"Kymi ",15,6,3,3,1,1,,1,"","",,7,"kymen läänin"
"Lapland ",8,1,1,3,3,,,,,,,8,"lapin läänin"
"North Karelia ",7,2,1,2,1,,,1,,,,11,"pohjoinen karialan läänin"
"North Savo ",11,2,2,4,2,,,1,"","",,6,"kuopion läänin"
"Oulu ",17,2,2,6,5,,,1,1,"",,10,"oulun läänin"
"Pirkanmaa ",13,4,4,1,3,1,"","","","",,4,"hämeen läänin pohjoinen"
"Satakunta ",13,3,3,2,3,,,1,1,,,12,"turun-porin läänin pohjoinen"
"South Savo ",9,3,2,2,1,1,"","","","",,9,"mikkelin läänin"
"Uusimaa ",26,8,7,2,4,1,3,,1,"",,14,"uudenmaan läänin"
"Vaasa ",18,3,3,5,2,1,3,1,"","",,15,"vaasan läänin"
"Varsinais-Suomi ",17,4,5,2,3,1,1,1,,,,13,"tutun-porin läänin eteläinen"
