"District","mag","SDP ","Kok ","Kesk–LKP ","SKDL ","SMP ","RKP ","SKL ","Vihr ","POP ","ÅS ","Others ","Source","cst","cst_n"
"Åland ",1,,,,,,,,,,1,"","https://en.wikipedia.org/wiki/1983_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",10,3,2,3,2,"","","","","","","",,5,"keski-suomen läänin"
"Häme ",15,5,5,2,2,1,"","","","","","",,3,"hämeen läänin eteläinen"
"Helsinki ",20,6,6,1,2,1,2,,1,1,,,,2,"helsinki läänin"
"Kymi ",14,6,3,2,1,1,,1,"","","","",,7,"kymen läänin"
"Lapland ",8,1,1,4,1,,,,,,,1,,8,"lapin läänin"
"North Karelia ",7,3,1,2,,1,,,,,,,,11,"pohjoinen karialan läänin"
"North Savo ",10,2,1,3,2,2,"","","","","","",,6,"kuopion läänin"
"Oulu ",18,3,2,7,4,2,"","","","","","",,10,"oulun läänin"
"Pirkanmaa ",13,4,4,1,3,1,"","","","","","",,4,"hämeen läänin pohjoinen"
"Satakunta ",13,4,3,2,2,2,,,,,,,,12,"turun-porin läänin pohjoinen"
"South Savo ",9,3,2,2,,1,,1,"","","","",,9,"mikkelin läänin"
"Uusimaa ",27,9,7,1,3,2,3,1,1,"","","",,14,"uudenmaan läänin"
"Vaasa ",18,3,3,6,1,1,4,"","","","","",,15,"vaasan läänin"
"Varsinais-Suomi ",17,5,4,2,3,2,1,,,,,,,13,"tutun-porin läänin eteläinen"
