"District","mag","SDP ","Kok ","Kesk ","SKDL ","RKP ","SMP ","SKL ","DV ","Vihr ","L–S","Source","cst","cst_n"
"Åland ",1,,,,,,,,,,1,"https://en.wikipedia.org/wiki/1987_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",10,3,2,2,1,,1,1,,,,,5,"keski-suomen läänin"
"Häme ",15,6,6,2,1,,,,,,,,3,"hämeen läänin eteläinen"
"Helsinki ",20,6,7,,1,3,,1,,2,,,2,"helsinki läänin"
"Kymi ",14,6,4,2,,,1,1,,,,,7,"kymen läänin"
"Lapland ",8,1,1,4,1,,,,1,,,,8,"lapin läänin"
"North Karelia ",7,3,1,3,,,,,,,,,11,"pohjoinen karialan läänin"
"North Savo ",10,2,2,4,1,,1,,,,,,6,"kuopion läänin"
"Oulu ",18,2,3,8,3,,1,,,1,,,10,"oulun läänin"
"Pirkanmaa ",13,4,5,1,1,,1,,1,,,,4,"hämeen läänin pohjoinen"
"Satakunta ",12,4,3,2,2,,1,,,,,,12,"turun-porin läänin pohjoinen"
"South Savo ",8,3,2,3,,,,,,,,,9,"mikkelin läänin"
"Uusimaa ",29,9,9,2,2,4,1,,1,1,,,14,"uudenmaan läänin"
"Vaasa ",18,3,3,5,1,4,1,1,,,,,15,"vaasan läänin"
"Varsinais-Suomi ",17,4,5,2,2,1,1,1,1,,,,13,"tutun-porin läänin eteläinen"
