District,mag,Kesk ,SDP ,Kok ,Vas ,RKP ,Vihr ,SKL ,SMP ,LKP ,L–S–G ,Source,cst,cst_n
Åland ,1,0,0,0,0,0,0,0,0,0,1,https://en.wikipedia.org/wiki/1991_Finnish_parliamentary_election,1,ahvenmnaan läänin
Central Finland ,10,3,3,1,1,0,0,1,1,0,0,,5,keski-suomen läänin
Häme ,13,3,4,4,1,0,1,0,0,0,0,,3,hämeen läänin eteläinen
Helsinki ,20,1,5,6,2,2,3,1,0,0,0,,2,helsinki läänin
Kymi ,13,4,5,3,0,0,1,0,0,0,0,,7,kymen läänin
Lapland ,8,5,1,0,2,0,0,0,0,0,0,,8,lapin läänin
North Karelia ,7,3,2,1,0,0,0,1,0,0,0,,11,pohjoinen karialan läänin
North Savo ,10,5,2,1,1,0,0,0,1,0,0,,6,kuopion läänin
Oulu ,18,9,2,2,3,0,1,0,0,1,0,,10,oulun läänin
Pirkanmaa ,15,2,4,4,2,0,1,1,1,0,0,,4,hämeen läänin pohjoinen
Satakunta ,12,3,3,2,2,0,,1,1,0,0,,12,turun-porin läänin pohjoinen
South Savo ,8,3,3,2,0,0,0,0,0,0,0,,9,mikkelin läänin
Uusimaa ,30,4,7,8,2,4,3,1,1,0,0,,14,uudenmaan läänin
Vaasa ,18,6,3,2,1,4,,1,1,0,0,,15,vaasan läänin
Varsinais-Suomi ,17,4,4,4,2,1,,1,1,0,0,,13,tutun-porin läänin eteläinen
