"District","mag","SDP ","Kesk ","Kok ","Vas ","RKP ","Vihr ","SKL ","Nuor ","SMP ","EKO ","L","Source","cst","cst_n"
"Åland ",1,,,,,,,,,,,1,"https://en.wikipedia.org/wiki/1995_Finnish_parliamentary_election",1,"ahvenmnaan läänin"
"Central Finland ",10,4,3,1,1,,,1,,,,,,5,"keski-suomen läänin"
"Häme ",13,5,2,4,1,,,1,,,,,,3,"hämeen läänin eteläinen"
"Helsinki ",19,6,,5,2,2,3,,1,,,,,2,"helsinki läänin"
"Kymi ",13,5,2,3,1,,1,1,,,,,,7,"kymen läänin"
"Lapland ",8,1,4,1,2,,,,,,,,,8,"lapin läänin"
"North Karelia ",7,4,2,1,,,,,,,,,,11,"pohjoinen karialan läänin"
"North Savo ",10,3,3,1,2,,,1,,,,,,6,"kuopion läänin"
"Oulu ",18,3,9,2,3,,1,,,,,,,10,"oulun läänin"
"Pirkanmaa ",16,6,2,4,2,,1,,,,1,,,4,"hämeen läänin pohjoinen"
"Satakunta ",11,4,3,2,2,,,,,,,,,12,"turun-porin läänin pohjoinen"
"South Savo ",8,3,3,1,,,,1,,,,,,9,"mikkelin läänin"
"Uusimaa ",31,11,2,7,3,4,2,1,1,,,,,14,"uudenmaan läänin"
"Vaasa ",18,3,6,2,1,4,,1,,1,,,,15,"vaasan läänin"
"Varsinais-Suomi ",17,5,3,5,2,1,1,,,,,,,13,"tutun-porin läänin eteläinen"
