Year,Party,Uudenmaan l.,Turun l. eteläinen,Turun l. pohjoinen,Hämeen l. eteläinen,Hämeen l. pohjoinen,Viipurin l. läntinen,Viipurin l. itäinen,Mikkelin l.,Kuopion l. läntinen,Kuopion l. itäinen,Vaasan l. itäinen,Vaasan l. eteläinen,Vaasan l. pohjoinen,Oulun l. etel.,Oulun l. pohjoinen,Lapin l.
1929,RKP,10,4,0,0,,,,,,,,5,4,,,
1929,Kok,3,3,3,2,2,4,2,1,1,1,1,2,1,1,1,0
1929,Edistyspuolue,2,1,0,1,1,1,,1,,,,,,,,
1929,Maalaisliitto,1,2,4,2,1,5,10,4,5,4,3,3,3,7,5,1
1929,SDP,7,4,6,5,6,5,4,6,2,5,6,1,1,1,0,
1929,SKP,3,2,2,1,1,1,1,0,4,0,0,1,1,4,2,
1930,RKP,9,3,,,,,,,,,,5,4,,,
1930,Kok,4,4,5,4,3,5,2,2,2,2,1,3,2,2,1,
1930,Edistyspuolue,2,2,0,1,1,2,0,1,0,0,1,0,0,1,0,0
1930,Maalaisliitto,1,2,4,1,0,4,11,4,5,4,3,3,3,7,6,1
1930,SKP,,,,,,,,,,,,,,1,,
1930,SDP,10,5,6,5,7,5,4,5,5,4,5,1,1,2,1,
1933,RKP,9,3,,,,,,,,,,5,4,,,
1933,IKL,1,1,1,2,0,2,1,1,1,0,1,1,0,1,1,0
1933,Kok,2,2,3,1,2,2,1,0,1,1,0,1,1,1,0,0
1933,Edistyspuolue,2,2,0,1,1,2,0,1,0,0,1,0,0,1,0,0
1933,Maalaisliitto,1,2,3,1,0,4,10,4,5,3,3,3,3,5,5,1
1933,Suomen pienvilj p.,,,,,,,,,,1,,,,1,1,
1933,Kansanpuolue,,,,,,,,,,,,,,2,,
1933,SDP,11,6,8,6,8,6,5,6,5,5,5,2,2,2,1,0
1936,RKP,9,3,,,,,,,,,,5,4,,,
1936,IKL,1,1,1,2,1,1,1,1,1,0,1,1,1,1,0,0
1936,Kok,2,2,3,1,2,3,2,1,1,1,0,1,0,1,0,0
1936,Edistyspuolue,2,1,0,1,0,1,0,1,,,,,,1,,
1936,Maalaisliitto,0,2,3,1,0,4,9,3,5,4,3,3,3,6,6,1
1936,Suomen pienvilj p.,,,,,,,,,,,,,,,1,
1936,Kansanpuolue,,,,,,,,,,,,,,1,,
1936,SDP,12,7,8,6,8,7,5,6,5,5,6,2,2,3,1,0
1939,RKP,8,3,,,,,,,,,,4,3,,NA,
1939,IKL,1,1,1,1,0,1,1,,,,,1,,1,NA,
1939,Kok,3,2,3,2,2,4,2,1,1,1,1,1,1,1,NA,
1939,Edistyspuolue,2,1,0,1,1,,,1,,,,,,,NA,
1939,Maalaisliitto,1,2,3,1,0,5,10,4,5,4,4,2,2,8,NA,5
1939,Pienviljelijäin ja maalaistkansan,,,,,,,,,,,,,,2,NA,
1939,SDP,15,6,7,6,8,7,5,5,6,5,5,2,2,4,NA,2
1919,RKP,10,3,0,0,0,,,,,,,5,4,,,
1919,Kok,3,3,4,2,3,4,1,1,1,0,1,2,1,2,0,0
1919,Edistyspuolue,2,3,2,3,1,3,3,5,1,1,0,0,1,0,0,1
1919,Mallaisliitto,0,0,1,0,0,4,9,1,3,4,3,3,2,7,5,0
1919,Kristillinen työväenliitto,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,SDP,10,6,7,6,7,6,4,6,7,5,6,2,2,4,2,
1922,RKP,10,3,0,0,0,0,0,0,0,0,,7,5,0,0,0
1922,Kok,3,4,4,3,3,5,2,2,1,1,1,2,1,2,1,0
1922,Edistyspuolue,1,1,1,1,1,2,2,3,1,0,1,0,0,0,0,1
1922,Mallaisliitto,0,1,2,1,0,4,10,1,4,4,2,2,3,7,4,0
1922,SDP,6,3,6,5,7,5,3,7,1,5,5,,,,,
1922,Suom. Socialistinen työväenpuolue,5,4,2,1,0,1,0,0,5,0,1,1,1,4,2,0
1924,RKP,9,4,,,,,,,,,,6,4,0,0,
1924,Kok,4,4,4,3,3,5,2,2,1,1,1,2,2,2,1,1
1924,Edistyspuolue,2,1,1,1,1,3,1,3,1,1,1,0,0,1,0,0
1924,Mallaisliitto,0,1,3,1,1,3,10,1,4,3,2,2,3,6,4,
1924,SDP,7,4,6,5,6,5,4,7,2,5,6,1,1,1,0,
1924,Työläisten ja pienviljelijäin p.,3,2,1,1,0,1,0,0,4,0,0,1,0,3,2,0
1927,RKP,10,4,,,,,,,,,,6,4,0,0,
1927,Kok,4,3,4,3,2,4,3,1,1,1,1,2,2,1,1,1
1927,Edistyspuolue,2,1,1,1,1,2,0,1,0,0,0,0,0,1,0,0
1927,Mallaisliitto,0,2,3,1,1,4,9,4,4,4,3,2,3,7,5,0
1927,SDP,7,4,6,5,6,5,4,6,3,5,6,1,1,1,0,
1927,Sosialistinen työväen ja pienviljelijäin p.,3,2,1,1,1,1,1,,4,0,0,1,0,3,2,
