Constituency,cst,mag,Ap ,H–FV ,V ,B ,RF,Source
Akershus ,1,7,3,3,,1,,https://en.wikipedia.org/wiki/1930_Norwegian_parliamentary_election
Aust-Agder ,2,4,1,1,1,1,,
Bergen ,3,5,2,2,1,,,
Buskerud ,4,4,2,1,,1,,
Finnmark ,14,3,1,1,1,,,
Hedmark ,15,7,4,1,,2,,
Hordaland ,16,8,1,1,4,2,,
Market towns of Akershus and Østfold ,5,4,2,2,,,,
Market towns of Buskerud ,6,4,1,2,1,,,
Market towns of Hedmark and Oppland ,7,3,1,2,,,,
Market towns of Møre ,8,2,1,,1,,,
"Market towns of Nordland, Troms and Finnmark ",9,4,2,1,1,,,
Market towns of Sør-Trøndelag and Nord-Trøndelag ,10,5,1,4,,,,
Market towns of Telemark and Aust-Agder ,11,5,2,2,1,,,
Market towns of Vest-Agder and Rogaland ,12,7,2,2,3,,,
Market towns of Vestfold ,13,4,1,3,,,,
Møre ,18,8,1,1,4,2,,
Nord-Trøndelag ,19,5,2,,1,2,,
Nordland ,20,8,2,3,2,1,,
Oppland ,22,6,2,,,3,1,
Oslo ,17,7,3,4,,,,
Østfold ,21,6,3,1,,2,,
Rogaland ,23,5,,1,2,2,,
Sogn og Fjordane ,25,5,,1,2,2,,
Sør-Trøndelag ,24,6,2,1,2,1,,
Telemark ,26,5,2,,2,1,,
Troms ,27,5,2,1,1,1,,
Vest-Agder ,28,4,,1,2,1,,
Vestfold ,29,4,1,2,1,,,
