"Constituency","cst","mag","Ap","H","V","K","B","KrF","Source"
"Akershus ",1,7,3,2,,1,,1,"https://en.wikipedia.org/wiki/1945_Norwegian_parliamentary_election"
"Aust-Agder ",2,4,2,1,1,,,,
"Bergen ",3,5,2,1,1,1,,,
"Buskerud ",4,5,3,1,,1,,,
"Finnmark ",14,3,2,,,1,,,
"Hedmark ",15,7,4,1,,1,1,,
"Hordaland ",16,8,3,1,2,,,2,
"Market townsof Akershus and Østfold ",5,4,2,1,,1,,,
"Market towns of Buskerud ",6,3,2,1,,,,,
"Market towns ofHedmark and Oppland ",7,3,2,1,,,,,
"Market towns of Møre og Romsdal ",8,3,2,1,,,,,
"Market towns ofNordland, Troms and Finnmark ",9,4,2,1,,1,,,
"Market towns ofSør-Trøndelag and Nord-Trøndelag ",10,5,3,1,,1,,,
"Market towns ofTelemark and Aust-Agder ",11,5,2,1,1,1,,,
"Market towns ofVest-Agder and Rogaland ",12,7,4,1,2,,,,
"Market towns of Vestfold ",13,4,2,2,,,,,
"Møre og Romsdal ",18,7,2,,2,,1,2,
"Nord-Trøndelag ",19,5,3,,1,,1,,
"Nordland ",20,8,4,2,1,1,,,
"Oppland ",22,6,3,,1,,2,,
"Oslo ",17,7,4,2,,1,,,
"Østfold ",21,6,3,1,,,1,1,
"Rogaland ",23,5,2,1,1,,1,,
"Sogn og Fjordane ",25,5,2,,2,,1,,
"Sør-Trøndelag ",24,6,3,,1,,1,1,
"Telemark ",26,5,3,,1,,,1,
"Troms ",27,5,4,,1,,,,
"Vest-Agder ",28,4,1,,2,,1,,
"Vestfold ",29,4,2,2,,,,,
