Constituency,cst,mag,Ap ,H ,Sp ,KrF ,SV ,ALp ,V ,DNF,Source
Akershus ,1,10,3,3,1,1,1,1,,,https://en.wikipedia.org/wiki/1973_Norwegian_parliamentary_election#Seat_distribution
Aust-Agder ,2,4,2,1,,1,,,,,
Buskerud ,3,7,3,2,1,,1,,,,
Finnmark ,4,4,2,1,,,1,,,,
Hedmark ,5,8,4,1,2,,1,,,,
Hordaland ,6,15,5,3,1,3,1,1,,1,
Møre og Romsdal ,7,10,3,1,2,2,1,,1,,
Nord-Trøndelag ,8,6,3,,2,1,,,,,
Nordland ,9,12,5,1,2,2,2,,,,
Oppland ,11,7,4,1,2,,,,,,
Oslo ,12,15,6,5,,1,2,1,,,
Østfold ,10,8,4,1,1,1,1,,,,
Rogaland ,13,10,3,2,1,2,1,1,,,
Sogn og Fjordane ,15,5,2,,2,1,,,,,
Sør-Trøndelag ,14,10,4,2,1,1,2,,,,
Telemark ,16,6,2,1,,1,1,,1,,
Troms ,17,6,2,1,1,1,1,,,,
Vest-Agder ,18,5,2,1,1,1,,,,,
Vestfold ,19,7,3,2,1,1,,,,,
