Constituency,cst,mag,Ap ,H ,KrF ,Sp ,SV ,V,Source
Akershus ,1,10,4,4,1,1,,,https://en.wikipedia.org/wiki/1977_Norwegian_parliamentary_election#Seat_distribution
Aust-Agder ,2,4,2,1,1,,,,
Buskerud ,3,7,4,2,1,,,,
Finnmark ,4,4,3,1,,,,,
Hedmark ,5,8,6,1,,1,,,
Hordaland ,6,15,6,5,3,1,,,
Møre og Romsdal ,7,10,3,2,3,1,,1,
Nord-Trøndelag ,8,6,3,1,,2,,,
Nordland ,9,12,6,2,2,1,1,,
Oppland ,11,7,4,1,1,1,,,
Oslo ,12,15,7,6,1,,1,,
Østfold ,10,8,5,2,1,,,,
Rogaland ,13,10,4,3,2,1,,,
Sogn og Fjordane ,15,5,2,1,1,1,,,
Sør-Trøndelag ,14,10,5,2,1,1,,1,
Telemark ,16,6,4,1,1,,,,
Troms ,17,6,3,2,1,,,,
Vest-Agder ,18,5,2,1,1,1,,,
Vestfold ,19,7,3,3,1,,,,
