Constituency,cst,mag,Ap ,H ,KrF ,Sp ,SV ,Frp ,V,Source
Akershus ,1,10,4,5,,,,1,,https://en.wikipedia.org/wiki/1981_Norwegian_parliamentary_election#Seat_distribution
Aust-Agder ,2,4,2,1,1,,,,,
Buskerud ,3,7,4,2,,1,,,,
Finnmark ,4,4,3,1,,,,,,
Hedmark ,5,8,5,2,,1,,,,
Hordaland ,6,15,4,5,2,1,1,1,1,
Møre og Romsdal ,7,10,3,3,2,1,,,1,
Nord-Trøndelag ,8,6,3,1,,2,,,,
Nordland ,9,12,5,4,1,1,1,,,
Oppland ,11,7,4,2,,1,,,,
Oslo ,12,15,5,7,1,,1,1,,
Østfold ,10,8,4,3,1,,,,,
Rogaland ,13,10,3,3,2,1,,1,,
Sogn og Fjordane ,15,5,2,1,1,1,,,,
Sør-Trøndelag ,14,10,4,3,1,1,1,,,
Telemark ,16,6,3,2,1,,,,,
Troms ,17,6,3,2,1,,,,,
Vest-Agder ,18,5,2,2,1,,,,,
Vestfold ,19,7,3,4,,,,,,
