"Constituency","cst","SLD ","PO ","SRP ","PiS ","PSL ","LPR ","MN","mag"
"1 – Legnica ",18,7,1,1,1,1,1,0,12
"2 – Wałbrzych ",37,6,1,1,0,0,1,0,9
"3 – Wrocław ",40,6,3,1,2,1,1,0,14
"4 – Bydgoszcz ",3,7,1,1,1,1,1,0,12
"5 – Toruń ",36,7,1,2,1,1,1,0,13
"6 – Lublin ",20,5,1,2,2,3,2,0,15
"7 – Chełm ",4,5,1,2,0,3,1,0,12
"8 – Zielona Góra ",41,7,1,1,1,1,1,0,12
"9 – Łódź ",19,6,2,1,1,0,1,0,11
"10 – Piotrków Trybunalski ",25,4,1,2,0,1,1,0,9
"11 – Sieradz ",32,5,1,2,1,2,1,0,12
"12 – Chrzanów ",5,3,1,0,1,1,1,0,7
"13 – Kraków ",16,5,3,1,2,1,2,0,14
"14 – Nowy Sącz ",21,3,2,1,1,1,1,0,9
"15 – Tarnów ",35,2,1,1,1,2,1,0,8
"16 – Płock ",26,5,1,1,1,2,0,0,10
"17 – Radom ",28,3,1,1,1,2,1,0,9
"18 – Siedlce ",31,4,1,2,1,3,1,0,12
"19 – Warsaw I ",38,8,4,0,5,0,2,0,19
"20 – Warsaw II ",39,3,2,1,2,1,1,0,10
"21 – Opole ",23,5,2,2,1,0,1,2,13
"22 – Krosno ",17,4,1,2,1,2,1,0,11
"23 – Rzeszów ",30,5,2,2,1,2,3,0,15
"24 – Białystok ",1,6,1,2,2,2,2,0,15
"25 – Gdańsk ",8,5,3,1,2,0,1,0,12
"26 – Gdynia ",9,6,4,1,1,1,1,0,14
"27 – Bielsko-Biała ",2,4,2,1,1,0,1,0,9
"28 – Częstochowa ",6,4,1,1,1,0,0,0,7
"29 – Gliwice ",10,6,2,1,1,0,0,0,10
"30 – Rybnik ",29,5,2,1,1,0,0,0,9
"31 – Katowice ",12,7,3,1,2,0,0,0,13
"32 – Sosnowiec ",33,7,1,1,0,0,0,0,9
"33 – Kielce ",13,8,1,2,1,3,1,0,16
"34 – Elbląg ",7,5,1,1,0,1,0,0,8
"35 – Olsztyn ",22,5,1,1,1,0,1,0,9
"36 – Kalisz ",11,6,1,2,0,2,1,0,12
"37 – Konin ",14,5,1,2,0,1,0,0,9
"38 – Piła ",24,5,1,1,0,1,1,0,9
"39 – Poznań ",27,5,2,0,2,0,1,0,10
"40 – Koszalin ",15,5,1,2,0,0,0,0,8
"41 – Szczecin ",34,7,2,2,1,0,1,0,13
