District,PS_pct,PS_mandate,PSD_pct,PSD_mandate,APU_pct,APU_mandate,CDS_pct,CDS_mandate,mag,Source,cst
Azores ,31.1,2,54.4,3,3.1,0,4.7,0,5,https://en.wikipedia.org/wiki/1983_Portuguese_legislative_election#Distribution_by_constituency,14
Aveiro ,36.6,6,34.8,6,7,1,16.4,2,15,,1
Beja ,28,2,11.8,0,49.4,3,4.1,0,5,,2
Braga ,39.7,7,27,5,8.8,1,18.3,3,16,,3
Bragança ,30.4,1,35.8,2,4.8,0,20.9,1,4,,4
Castelo Branco ,37.1,3,30.6,2,11.3,0,13.2,1,6,,5
Coimbra ,45.3,6,27.8,3,10.7,1,10.2,1,11,,6
Évora ,23.9,1,18.6,1,47.6,3,4.5,0,5,,7
Faro ,43.2,5,23.1,2,18.6,2,7.4,0,9,,8
Guarda ,33.5,2,31.5,2,4.9,0,23.8,1,5,,9
Leiria ,32.7,4,35.6,4,9.5,1,16.2,2,11,,10
Lisbon ,35.8,21,21.8,13,25.3,15,11.7,7,56,,11
Madeira ,24.4,1,56.2,4,2.8,0,8.2,0,5,,15
Portalegre ,38.5,2,19.1,1,28.7,1,7.5,0,4,,12
Porto ,43,18,26.2,10,13.6,5,12.5,5,38,,13
Santarém ,38.4,5,24.7,3,20,3,10,1,12,,16
Setúbal ,30.6,6,12.7,2,45.8,8,5.1,1,17,,17
Viana do Castelo ,32.5,2,32.6,3,9.9,0,18.4,1,6,,18
Vila Real ,32.3,2,42,3,5.4,0,12.7,1,6,,19
Viseu ,30.9,4,36.6,4,4.6,0,20.7,2,10,,20
Europe ,33.6,1,31.2,1,17.1,0,11.1,0,2,,21
Outside Europe ,7,0,48.2,1,2.8,0,34.1,1,2,,22
Total ,36.1,101,27.2,75,18.1,44,12.6,30,250,,
