District,PSD_pct,PSD_mandate,PS_pct,PS_mandate,PRD_pct,PRD_mandate,APU_pct,APU_mandate,CDS_pct,CDS_mandate,mag,Source,cst
Azores ,48.3,3,20.1,1,15.2,1,4.4,0,6.5,0,5,https://en.wikipedia.org/wiki/1985_Portuguese_legislative_election#Distribution_by_constituency,14
Aveiro ,38.4,6,23,4,13.4,2,6.5,1,13.5,2,15,,1
Beja ,13.7,1,20.1,1,11.6,0,44.9,3,2.2,0,5,,2
Braga ,32.8,6,21.8,4,16.8,3,8.5,1,14,2,16,,3
Bragança ,39.2,2,22.7,1,6.9,0,5.3,0,17.1,1,4,,4
Castelo Branco ,31.2,3,18.5,1,24.4,2,8.9,0,9.6,0,6,,5
Coimbra ,29.5,4,28.5,3,16.9,2,10.1,1,8.6,1,11,,6
Évora ,19.1,1,14.3,1,15.8,1,41.2,2,3.3,0,5,,7
Faro ,28.4,3,22.3,2,20.5,2,15.4,2,6.1,0,9,,8
Guarda ,33.6,2,23.3,2,10.9,0,5.2,0,19.5,1,5,,9
Leiria ,38.6,5,19.6,2,15.3,2,7.9,1,12.2,1,11,,10
Lisbon ,25.6,15,19.8,12,21.3,13,20.1,12,8.1,4,56,,11
Madeira ,56.8,4,13.2,1,9.7,0,3.2,0,7.8,0,5,,15
Portalegre ,20.9,1,23.7,1,18.9,0,25.2,1,4.9,0,3,,12
Porto ,29.3,12,23.6,10,20.5,8,12.1,5,9.8,4,39,,13
Santarém ,27.8,4,18.6,2,23.8,3,16.4,2,7.7,1,12,,16
Setúbal ,15.4,3,16.5,3,20.4,4,38.2,7,3.8,0,17,,17
Viana do Castelo ,33.5,3,18.4,1,16.2,1,8.2,0,16.6,1,6,,18
Vila Real ,42.2,3,23,2,8.6,0,5.9,0,12.5,1,6,,19
Viseu ,37.7,5,20,2,10.9,1,5,0,19.9,2,10,,20
Europe ,24.3,1,24.2,1,7.1,0,18.8,0,17.3,0,2,,21
Outside Europe ,40.5,1,7.8,0,3.3,0,2.6,0,37.9,1,2,,22
Total ,29.9,88,20.8,57,17.9,45,15.5,38,10,22,250,,
