District,PSD_pct,PSD_mandate,PS_pct,PS_mandate,CDU_pct,CDU_mandate,PRD_pct,PRD_mandate,CDS_pct,CDS_mandate,mag,Source,cst
Azores ,66.7,4,20,1,2.3,0,3,0,3.3,0,5,https://en.wikipedia.org/wiki/1987_Portuguese_legislative_election#Distribution_by_constituency,14
Aveiro ,60.4,11,22.9,4,4.4,0,2.7,0,5.3,0,15,,1
Beja ,24.5,1,20.3,1,38.7,3,5.7,0,2,0,5,,2
Braga ,53.4,10,25.9,5,6.1,1,3.3,0,5.9,1,17,,3
Bragança ,60.8,3,19.2,1,3.2,0,1.3,0,7.6,0,4,,4
Castelo Branco ,52.1,4,22.4,2,7.1,0,6,0,4.7,0,6,,5
Coimbra ,50,6,28.7,4,7.2,1,3.5,0,4.5,0,11,,6
Évora ,32.1,2,15.4,0,36.2,2,7.7,0,2.1,0,4,,7
Faro ,46.7,5,24.9,3,10.9,1,6.3,0,3.1,0,9,,8
Guarda ,60,4,21.8,1,3.3,0,2,0,6.6,0,5,,9
Leiria ,60.8,9,18.7,2,5.9,0,3,0,6,0,11,,10
Lisbon ,45.8,28,21.2,12,16.5,10,6.9,4,3.7,2,56,,11
Madeira ,65.5,4,16.2,1,1.9,0,3.3,0,5.2,0,5,,15
Portalegre ,37.4,1,25.1,1,20.9,1,6.3,0,3.1,0,3,,12
Porto ,50.9,22,26.7,11,9.4,4,4,1,4,1,39,,13
Santarém ,47.9,7,21.7,3,12.6,1,7.3,1,3.6,0,12,,16
Setúbal ,32.6,6,17.6,3,32.7,7,8.7,1,1.9,0,17,,17
Viana do Castelo ,54.5,5,20.3,1,6.3,0,4.8,0,7.7,0,6,,18
Vila Real ,62.5,5,20.3,1,4.1,0,1.4,0,5,0,6,,19
Viseu ,64.1,8,17.9,2,2.9,0,1.7,0,7,0,10,,20
Europe ,37,1,28.4,1,15.9,0,4.9,0,6.6,0,2,,21
Outside Europe ,63.2,2,7.3,0,1.4,0,1.7,0,19.9,0,2,,22
Total ,50.2,148,22.2,60,12.1,31,4.9,7,4.4,4,250,,
