"District","PSD_pct","PSD_mandate","PS_pct","PS_mandate","CDU_pct","CDU_mandate","CDS_pct","CSD_mandate","PSN_pct","PSN_mandate","mag","Source"
"Azores ",64.1,4,25.8,1,1.3,0,3.4,0,,,5,"https://en.wikipedia.org/wiki/1991_Portuguese_legislative_election#Distribution_by_constituency"
"Aveiro ",58.6,9,27.8,4,2.8,0,6.1,1,1.3,0,14,
"Beja ",29.3,1,28.4,1,30.4,2,2.3,0,1,0,4,
"Braga ",53.6,10,31.5,5,4.6,0,5.6,1,0.8,0,16,
"Bragança ",57.9,3,25.7,1,2.1,0,8.2,0,1.5,0,4,
"Castelo Branco ",51.8,3,32.4,2,4.6,0,3.9,0,2.3,0,5,
"Coimbra ",49.9,6,34.4,4,5,0,3.5,0,1.7,0,10,
"Évora ",35,2,25.9,1,27.1,1,2.8,0,1.4,0,4,
"Faro ",50.8,5,31.2,3,7.2,0,2.8,0,2.2,0,8,
"Guarda ",58.6,3,26.8,1,2.3,0,5.9,0,1.3,0,4,
"Leiria ",61.2,7,23,3,4.5,0,4.8,0,1.4,0,10,
"Lisbon ",45.3,25,29.7,16,12.2,6,4,2,2.6,1,50,
"Madeira ",62.4,4,20.2,1,1,0,6.1,0,1.9,0,5,
"Portalegre ",38.9,2,33.5,1,15.2,0,3.3,0,1.8,0,3,
"Porto ",51.3,21,32.9,13,6.4,2,4.1,1,1.1,0,37,
"Santarém ",49.1,6,29.4,3,9.8,1,3.3,0,2.2,0,10,
"Setúbal ",34.7,6,28.4,5,24.9,5,2.7,0,2.4,0,16,
"Viana do Castelo ",56.9,4,25.2,2,5,0,7.2,0,1.2,0,6,
"Vila Real ",60.6,4,26,2,2.6,0,5.1,0,1.2,0,6,
"Viseu ",64.3,7,19.4,2,2.1,0,6.3,0,1.3,0,9,
"Europe ",53.7,1,31.9,1,7.8,0,3,0,,,2,
"Outside Europe ",77.3,2,4.9,0,1,0,14.6,0,,,2,
"Total ",50.6,135,29.1,72,8.8,17,4.4,5,1.7,1,230,
