District,PS_pct,PS_mandate,PSD_pct,PSD_mandate,CDSPP_pct,CDSPP_mandate,CDU_pct,CDU_mandate,mag,Source,cst
Azores ,37.6,2,47.8,3,9.4,0,1.8,0,5,https://en.wikipedia.org/wiki/1995_Portuguese_legislative_election#Distribution_by_constituency,14
Aveiro ,40.2,6,41.2,6,12.6,2,2.7,0,14,,1
Beja ,45.8,2,15.7,1,3.6,0,29.2,1,4,,2
Braga ,42.9,8,38.2,7,10.7,1,4.5,0,16,,3
Bragança ,40.3,2,44.8,2,9.4,0,1.9,0,4,,4
Castelo Branco ,53.2,3,32.1,2,7.2,0,5.3,0,5,,5
Coimbra ,49.1,6,34.5,4,7.1,0,5.1,0,10,,6
Évora ,42.6,2,20.2,1,5.2,0,26.9,1,4,,7
Faro ,49.6,5,29.2,3,8.3,0,7.8,0,8,,8
Guarda ,43.7,2,39.9,2,9.9,0,2.3,0,4,,9
Leiria ,36.7,4,43.3,5,11.4,1,4.5,0,10,,10
Lisbon ,44.3,24,29,15,9.4,5,12,6,50,,11
Madeira ,32,2,46.1,3,12.9,0,1.3,0,5,,15
Portalegre ,50.5,2,23.4,1,6.3,0,14,0,3,,12
Porto ,46.7,18,36.4,14,7.8,3,6,2,37,,13
Santarém ,45.8,5,31,3,8.7,1,9.5,1,10,,16
Setúbal ,44.9,9,18.4,3,7.2,1,23.8,4,17,,17
Viana do Castelo ,38.8,3,42.1,3,11.3,0,4.6,0,6,,18
Vila Real ,40,2,46,3,7.8,0,1.9,0,5,,19
Viseu ,38.4,4,44.3,4,11.5,1,1.8,0,9,,20
Europe ,35.1,1,33.8,1,4.4,0,6.4,0,2,,21
Outside Europe ,12.8,0,69.3,2,3.8,0,1.2,0,2,,22
