District,PSD_pct,PSD_mandate,PS_pct,PS_mandate,CDSPP_pct,CDSPP_mandate,CDU_pct,CDU_mandate,BE_pct,BE_mandate,mag,cst
Azores ,45.4,3,41,2,8.4,0,1.4,0,1.4,0,5,14
Aveiro ,46.4,8,33.5,5,12.9,2,2.6,0,1.8,0,15,1
Beja ,21.2,0,43.5,2,3.7,0,24.2,1,1.9,0,3,2
Braga ,44.4,9,37.4,8,9.3,1,4.4,0,1.7,0,18,3
Bragança ,53.2,3,30,1,10.9,0,1.9,0,0.9,0,4,4
Castelo Branco ,38.3,2,46.1,3,7.1,0,3.3,0,1.5,0,5,5
Coimbra ,41,5,41.3,5,6.7,0,5.1,0,2.4,0,10,6
Évora ,25.3,1,42.8,1,4.6,0,21.8,1,1.8,0,3,7
Faro ,37.7,4,40.5,4,8.3,0,6.3,0,2.8,0,8,8
Guarda ,48.5,2,34.7,2,9.6,0,2.2,0,1.2,0,4,9
Leiria ,50.8,6,29.5,3,9.8,1,4.1,0,2.2,0,10,10
Lisbon ,35.7,18,38.7,20,8.5,4,8.8,4,4.7,2,48,11
Madeira ,53.5,4,25.8,1,12.1,0,2.5,0,3.1,0,5,15
Portalegre ,30.6,1,45.2,2,6.4,0,12.4,0,1.6,0,3,12
Porto ,40,16,41.2,17,8.4,3,4.6,1,2.7,1,38,13
Santarém ,38.1,4,38.4,4,8.4,1,8.6,1,2.9,0,10,16
Setúbal ,24.7,5,39.3,7,6.9,1,20.5,4,4.6,0,17,17
Viana do Castelo ,45.5,3,35.3,3,10.3,0,3.5,0,1.8,0,6,18
Vila Real ,54.1,3,31.9,2,8.1,0,2,0,0.9,0,5,19
Viseu ,52.1,5,31.1,3,10.6,1,1.5,0,1.4,0,9,20
Europe ,36.9,1,42.1,1,5,0,4.8,0,1.1,0,2,21
Outside Europe ,66.3,2,21.5,0,3.4,0,0.9,0,0.4,0,2,22
