"cst_n","cst","Code","ANR","PLRA","UNACE","MPQ","PPS","mag","Source"
"CAPITAL",8,0,3,1,1,3,1,9,"https://web.archive.org/web/20150407061328/https://tsje.gov.py/elecciones-generales-2003.html"
"CONCEPCION",10,1,1,2,,,,3,
"SAN PEDRO",18,2,2,1,1,,,4,
"CORDILLERA",11,3,3,2,,,,5,
"GUAIRA",12,4,1,1,1,,,3,
"CAAGUAZU",5,5,3,2,1,,,6,
"CAAZAPA",6,6,2,,,,,2,
"ITAPUA",13,7,3,1,1,1,,6,
"MISIONES",14,8,1,1,,,,2,
"PARAGUARI",16,9,2,1,1,,,4,
"ALTO PARANA",2,10,2,2,2,1,,7,
"CENTRAL",9,11,7,5,2,4,1,19,
"NEEMBUCU",15,12,2,,,,,2,
"AMAMBAY",3,13,1,1,,,,2,
"CANINDEYU",7,14,1,1,,,,2,
"PRESIDENTE HAYES",17,15,1,,,1,,2,
"BOQUERON",4,16,1,,,,,1,
"ALTO PARAGUAY",1,17,1,,,,,1,
