cst_n,cst,Code,ANR,PLRA,UNACE,APC,ADB,PPQ,MPT,PDP,mag,source
CAPITAL,8,0,3,1,2,0,0,2,0,1,9,"https://web.archive.org/web/20160118133305/http://tsje.gov.py/e2008/pdf/2008_resultados.pdf, table 8.20"
CONCEPCION,10,1,1,2,0,0,0,0,0,0,3,
SAN PEDRO,18,2,2,2,1,0,0,0,0,0,5,
CORDILLERA,11,3,1,2,1,0,0,0,0,0,4,
GUAIRA,12,4,1,1,1,0,0,0,0,0,3,
CAAGUAZU,5,5,2,3,1,0,0,0,0,0,6,
CAAZAPA,6,6,1,0,1,0,0,0,0,0,2,
ITAPUA,13,7,3,2,1,0,0,0,0,0,6,
MISIONES,14,8,1,1,0,0,0,0,0,0,2,
PARAGUARI,16,9,2,1,1,0,0,0,0,0,4,
ALTO PARANA,2,10,3,3,1,0,0,0,0,0,7,
CENTRAL,9,11,5,7,5,0,0,1,1,0,19,
NEEMBUCU,15,12,1,0,0,1,0,0,0,0,2,
AMAMBAY,3,13,1,1,0,0,0,0,0,0,2,
CANINDEYU,7,14,1,1,0,0,0,0,0,0,2,
PRESIDENTE HAYES,17,15,1,0,0,1,0,0,0,0,2,
ALTO PARAGUAY,1,16,1,0,0,0,0,0,0,0,1,
BOQUERON,4,17,1,0,0,0,1,0,0,0,1,
